Thalia-Apotheke;Lerchenfelder Gürtel 35 (Thaliastraße 1);1160;Wien
Hochschwab Apotheke Thörl;Palbersdorf 178;8621;Thörl
Hochschwab Apotheke Aflenz;Mariazellerstraße 14;8623;Aflenz-Kurort
Lindwurm Apotheke;Gablenzgasse 31;1150;Wien
Adler-Apotheke;Bahnstraße 27;8720;Knittelfeld
Schutzengel-Apotheke;Breitenseer Straße 10;1140;Wien
Salvator-Apotheke Dr. Wrann - Apotheke in der Stadt;Regensburger Straße 17;3380;Pöchlarn
Apotheke Zur Maria Trost;Hasnerstraße 71;1160;Wien
Anstaltsapotheke Krankenhaus der Barmherzigen Schwestern Betriebsges.m.b.H.;Stumpergasse 13;1060;Wien
Apotheke Hirtenberg;Leobersdorferstraße 3/3;2552;Hirtenberg
Apotheke Großweikersdorf;Hauptplatz 2;3701;Großweikersdorf
Lebenskraft Apotheke;Mariatrosterstraße 190;8044;Graz
Alte Kronen-Apotheke;Hauptplatz 13;2700;Wiener Neustadt
See-Apotheke;Georgsritterplatz 156;9872;Millstatt
Apotheke-Drogerie Zur Mariahilf;Hauptplatz 4;3443;Sieghartskirchen
Sonnenapotheke;Am Stampf 1;2493;Eggendorf
St. Wolfgang Apotheke;Markt 235;2880;Kirchberg/Wechsel
Hubertus-Apotheke;Ferdinand-Wiesinger-Straße 12;4600;Wels
Pegasus Apotheke Ampflwang;Ort 68;4843;Ampflwang
STERNapotheke;Bahnhofstraße 11;4600;Wels
Alpen-Apotheke Hinterglemm;Dorfstraße 374;5754;Hinterglemm
Alpen-Apotheke;Glemmtaler Landesstraße 23;5753;Saalbach
Antonius Apotheke;Itzlinger Hauptstraße 2A;5020;Salzburg
Apotheke Zum heiligen Michael;Marktstraße 87;5582;St. Michael
Apotheke Zur Mariahilf;Brückenstraße 7;5110;Oberndorf
Apotheke am Dorfplatz;Dorfplatz 60;5531;Eben
Apotheke & Drogerie Zur Mariahilf;Hauptplatz 15;8330;Feldbach
Glacis-Apotheke;Glacisstraße 31;8010;Graz
Michaeli Apotheke Gleinstätten;Gleinstätten 333/1;8443;Gleinstätten
Rebenland Apotheke;Arnfelser Straße 5;8463;Leutschach
Sonnen-Apotheke;Marktpassage 6;8724;Spielberg
Vulkanland Apotheke;Industriepark 11;8330;Feldbach
Niederndorfer Apotheke;Dorf 25;6342;Niederndorf
Solstein-Apotheke;Höttinger Au 73;6020;Innsbruck
Steinbock-Apotheke;Hauptstraße 444;6290;Mayrhofen
Katharinen-Apotheke;Platz 39;6870;Bezau
Apotheke Zum schwarzen Adler;Landstraßer Hauptstraße 60;1030;Wien
Krankenhausapotheke des Salzkammergut-Klinikums Bad Ischl;Dr.-Mayer-Straße 8 - 10;4820;Bad Ischl
Apotheke zum guten Hirten;Leonhardstraße 6;8010;Graz
Apotheke Wildschönau;Wildschönauer Straße 39/Niederau;6314;Wildschönau
Krankenhausapotheke Ordensklinikum Linz GmbH Elisabethinen;Fadingerstraße 1;4020;Linz
Apotheke im Fashion Outlet;Gewerbestraße 4/Top 40/41;7111;Parndorf
Schloßapotheke;Schloßgasse 29;7322;Lackenbach
Adler-Apotheke;Hauptstraße 4;9620;Hermagor
