Apotheke an der kleinen Weser;Osterstraße 74;Osterstraße74;1;Osterstraße♥74;12;Osterstraße;74;28199   ;Bremen                                            ;;
Rosen Apotheke ;Bahnhofstraße 1;Bahnhofstraße1;1;Bahnhofstraße♥1;14;Bahnhofstraße;1;26219;Bösel;;
Zana Apotheke ;Mühlendamm 1;Mühlendamm1;1;Mühlendamm♥1;11;Mühlendamm;1;27793;Wildeshausen;;
Die Beraterapotheke              ;Walshagenstraße 127;Walshagenstraße127;1;Walshagenstraße♥127;16;Walshagenstraße;127;48429   ;Rheine                                            ;;
Biener-Apotheke ;Am Treffpunkt 5;AmTreffpunkt5;2;Am Treffpunkt♥5;14;Am Treffpunkt;5;49808;Lingen (Ems);;
Vita-Apotheke Natruper Straße   ;Natruper Straße 229a;NatruperStraße229a;2;Natruper Straße♥229a;16;Natruper Straße;229a;49090     ;Osnabrück                                         ;;
Markt-Apotheke                  ;Bahnhofstraße 1;Bahnhofstraße1;1;Bahnhofstraße♥1;14;Bahnhofstraße;1;49635     ;Badbergen                                         ;;
Apotheke am Dombogen  ;Lüttinger Straße 25;LüttingerStraße25;2;Lüttinger Straße♥25;17;Lüttinger Straße;25;46509;Xanten ;;
Düwelsteen-Apotheke ;Alter Kirchplatz 1;AlterKirchplatz1;2;Alter Kirchplatz♥1;17;Alter Kirchplatz;1;46359;Heiden;;
Holzwarth Apotheke ;Bahnhofstraße 20a;Bahnhofstraße20a;1;Bahnhofstraße♥20a;14;Bahnhofstraße;20a;46286;Dorsten;;
Sandhasen Apotheke ;Hünxer Straße 23a;HünxerStraße23a;2;Hünxer Straße♥23a;14;Hünxer Straße;23a;46569;Hünxe;;
Stüwwenkopp Apotheke ;Marktplatz 1;Marktplatz1;1;Marktplatz♥1;11;Marktplatz;1;48607;Ochtrup;;
Apotheke am St.Vincenz-Krankenhaus ;Rottstraße 10;Rottstraße10;1;Rottstraße♥10;11;Rottstraße;10;45711;Datteln;;
Schwanen Apotheke ;Ostwall 3;Ostwall3;1;Ostwall♥3;8;Ostwall;3;59348;Lüdinghausen;;
Bahnhof Apotheke Höntrop ;In der Hönnebecke 80;InderHönnebecke80;3;In der Hönnebecke♥80;18;In der Hönnebecke;80;44869;Bochum;;
Abc Apotheke ;Langenbochumerstraße 202;Langenbochumerstraße202;1;Langenbochumerstraße♥202;21;Langenbochumerstraße;202;45701;Herten;;
Adler Apotheke Anrath ;Anrather Markt 5;AnratherMarkt5;2;Anrather Markt♥5;15;Anrather Markt;5;47877;Willich;;
Grafentaler Apotheke  ;Grafenberger Allee 302;GrafenbergerAllee302;2;Grafenberger Allee♥302;19;Grafenberger Allee;302;40237;Düsseldorf;;
Rosen-Apotheke Dellbrück ;Idastraße 54;Idastraße54;1;Idastraße♥54;10;Idastraße;54;51069;Köln;;
Pinguin-Apotheke am Bahnhof ;Friedrich Ebert Straße 13a;FriedrichEbertStraße13a;3;Friedrich Ebert Straße♥13a;23;Friedrich Ebert Straße;13a;51373;Leverkusen-Wiesdorf;;
Löwenzahn Apotheke               -;Kalker Hauptstraße 215;KalkerHauptstraße215;2;Kalker Hauptstraße♥215;19;Kalker Hauptstraße;215;51103     ;Köln                                              ;;
Himberger Apotheke OHG  ;Aegedienbergerstraße 1a;Aegedienbergerstraße1a;1;Aegedienbergerstraße♥1a;21;Aegedienbergerstraße;1a;53604;Bad Honnef;;
Markt Apotheke                  ;Adenauerplatz 3;Adenauerplatz3;1;Adenauerplatz♥3;14;Adenauerplatz;3;53773     ;Hennef                                            ;;
Goltstein Apotheke              ;Goltsteinstraße 87;Goltsteinstraße87;1;Goltsteinstraße♥87;16;Goltsteinstraße;87;50968     ;Köln                                              ;;
Neue Apotheke im Kaufland  ;Theodor-Heuss-Ring 55;Theodor-Heuss-Ring55;1;Theodor-Heuss-Ring♥55;19;Theodor-Heuss-Ring;55;53840;Troisdorf;;
Kreis-Apotheke                   ;Kölner Straße 16;KölnerStraße16;2;Kölner Straße♥16;14;Kölner Straße;16;50126   ;Bergheim                                          ;;
Marien Apotheke ;Gladbacher Straße 5b;GladbacherStraße5b;2;Gladbacher Straße♥5b;18;Gladbacher Straße;5b;41849;Wassenberg;;
Metropolitan Pharmacy Apotheke am internationalen Flughafen;Terminalring 1;Terminalring1;1;Terminalring♥1;13;Terminalring;1;40474;Düsseldorf;;
Broicherdorf  Apotheke ;Ludwig-Erhard-Straße 2;Ludwig-Erhard-Straße2;1;Ludwig-Erhard-Straße♥2;21;Ludwig-Erhard-Straße;2;41564;Kaarst;;
Loretto Apotheke ;Neusser Straße 82;NeusserStraße82;2;Neusser Straße♥82;15;Neusser Straße;82;40219;Düsseldorf ;;
Zwiling Apotheke OHG -;Friedrichstraße 17;Friedrichstraße17;1;Friedrichstraße♥17;16;Friedrichstraße;17;40217   ;Düsseldorf                                        ;;
Delphin Apotheke ;Bahnhofstraße 1;Bahnhofstraße1;1;Bahnhofstraße♥1;14;Bahnhofstraße;1;41747;Viersen;;
Birk Apotheke ;Nordstraße 2;Nordstraße2;1;Nordstraße♥2;11;Nordstraße;2;24395;Gelting;;
Hansa Apotheke ;Langer Rehm 22;LangerRehm22;2;Langer Rehm♥22;12;Langer Rehm;22;24149;Kiel;;
Apotheke Silberstedt            ;Dokterhuus 3;Dokterhuus3;1;Dokterhuus♥3;11;Dokterhuus;3;24887     ;Silberstedt                                       ;;
Rosen Apotheke ;Segeberger Straße 23;SegebergerStraße23;2;Segeberger Straße♥23;18;Segeberger Straße;23;23866;Nahe;;
Elch - Apotheke ;Beckersbergstraße 2;Beckersbergstraße2;1;Beckersbergstraße♥2;18;Beckersbergstraße;2;24558;Henstedt-Ulzburg;;
Mühlen-Apotheke Stadt ;Großflecken 30;Großflecken30;1;Großflecken♥30;12;Großflecken;30;24534;Neumünster;;
Apotheke am Ziegenweg  ;Ziegenweg 4;Ziegenweg4;1;Ziegenweg♥4;10;Ziegenweg;4;25451;Quickborn ;;
7.0 Die Grüne Apotheke           ;Mühlenstraße 34-38;Mühlenstraße34-38;1;Mühlenstraße♥34-38;13;Mühlenstraße;34-38;23552   ;Lübeck                                            ;;
Ostsee Apotheke ;Strandallee 1a;Strandallee1a;1;Strandallee♥1a;12;Strandallee;1a;23683;Scharbeutz;;
Elefanten Apotheke  ;Wesloer Landstraße 50-70;WesloerLandstraße50-70;2;Wesloer Landstraße♥50-70;19;Wesloer Landstraße;50-70;23566;Lübeck;;
