Apotheke an der kleinen Weser;Osterstraße;74;28199;Bremen                                            ;;
Rosen Apotheke ;Bahnhofstraße;1;26219;Bösel;;
Zana Apotheke ;Mühlendamm;1;27793;Wildeshausen;;
Die Beraterapotheke              ;Walshagenstraße;127;48429;Rheine                                            ;;
Biener-Apotheke ;Am Treffpunkt;5;49808;Lingen (Ems);;
Vita-Apotheke Natruper Straße   ;Natruper Straße;229a;49090;Osnabrück                                         ;;
Markt-Apotheke                  ;Bahnhofstraße;1;49635;Badbergen                                         ;;
Apotheke am Dombogen  ;Lüttinger Straße;25;46509;Xanten ;;
Düwelsteen-Apotheke ;Alter Kirchplatz;1;46359;Heiden;;
Holzwarth Apotheke ;Bahnhofstraße;20a;46286;Dorsten;;
Sandhasen Apotheke ;Hünxer Straße;23a;46569;Hünxe;;
Stüwwenkopp Apotheke ;Marktplatz;1;48607;Ochtrup;;
Apotheke am St.Vincenz-Krankenhaus ;Rottstraße;10;45711;Datteln;;
Schwanen Apotheke ;Ostwall;3;59348;Lüdinghausen;;
Bahnhof Apotheke Höntrop ;In der Hönnebecke;80;44869;Bochum;;
Abc Apotheke ;Langenbochumerstraße;202;45701;Herten;;
Adler Apotheke Anrath ;Anrather Markt;5;47877;Willich;;
Grafentaler Apotheke  ;Grafenberger Allee;302;40237;Düsseldorf;;
Rosen-Apotheke Dellbrück ;Idastraße;54;51069;Köln;;
Pinguin-Apotheke am Bahnhof ;Friedrich Ebert Straße;13a;51373;Leverkusen-Wiesdorf;;
Löwenzahn Apotheke               -;Kalker Hauptstraße;215;51103;Köln                                              ;;
Himberger Apotheke OHG  ;Aegedienbergerstraße;1a;53604;Bad Honnef;;
Markt Apotheke                  ;Adenauerplatz;3;53773;Hennef                                            ;;
Goltstein Apotheke              ;Goltsteinstraße;87;50968;Köln                                              ;;
Neue Apotheke im Kaufland  ;Theodor-Heuss-Ring;55;53840;Troisdorf;;
Kreis-Apotheke                   ;Kölner Straße;16;50126;Bergheim                                          ;;
Marien Apotheke ;Gladbacher Straße;5b;41849;Wassenberg;;
Metropolitan Pharmacy Apotheke am internationalen Flughafen;Terminalring;1;40474;Düsseldorf;;
Broicherdorf  Apotheke ;Ludwig-Erhard-Straße;2;41564;Kaarst;;
Loretto Apotheke ;Neusser Straße;82;40219;Düsseldorf ;;
Zwilling Apotheke OHG -;Friedrichstraße;17;40217;Düsseldorf                                        ;;
Delphin Apotheke ;Bahnhofstraße;1;41747;Viersen;;
Birk Apotheke ;Nordstraße;2;24395;Gelting;;
Hansa Apotheke ;Langer Rehm;22;24149;Kiel;;
Apotheke Silberstedt            ;Dokterhuus;3;24887;Silberstedt                                       ;;
Rosen Apotheke ;Segeberger Straße;23;23866;Nahe;;
Elch - Apotheke ;Beckersbergstraße;2;24558;Henstedt-Ulzburg;;
Mühlen-Apotheke Stadt ;Großflecken;30;24534;Neumünster;;
Apotheke am Ziegenweg  ;Ziegenweg;4;25451;Quickborn ;;
7.0 Die Grüne Apotheke;Mühlenstraße;34-38;23552;Lübeck                                            ;;
Ostsee Apotheke ;Strandallee;1a;23683;Scharbeutz;;
Elefanten Apotheke  ;Wesloer Landstraße;50-70;23566;Lübeck;;
Apotheke an der Osdorfer Landstraße ;Osdorfer Landstraße;112;22549;Hamburg;;
apo-rot Apotheke Bahrenfeld  ;Gasstraße;12;22761;Hamburg ;;
Löns Apotheke im Facharztzentrum  ;Eitzer Straße;18;27283;Verden (Aller);;
Antares-Apotheke Hohe Weide      ;Hohe Weide;17b;20359;Hamburg                                           ;;
Reuter Apotheke ;Zwischen den Brücken;1;21514;Büchen;;
Ahorn Apotheke                  ;Deichstraße;1;21683;Stade                                             ;;
Wandels Apotheke Krummesse  ;Beidendorfer Weg;30;23628;Krummesse;;
Lorian Apotheke                 ;Veddeler Brückenstraße;111;20539;Hamburg                                           ;;
Rathaus Apotheke  ;Ritter-Wulf-Platz;4;21493;Schwarzenbek;;
WeVital-Apotheke Harburg Herr Peter Weber ;Am Wall;1;21073;Hamburg;;
Hecht Apotheke                  ;Hauptstraße;47;21266;Jesteburg                                         ;;
Apotheke am Markt ;Am Junkerhof;5;29308;Winsen;;
Wümme-Apotheke Fischerhude ;Landstraße;22;28870;Ottersberg;;
Vitalis Apotheke ;Chemnitzer Straße;2b;30952;Ronnenberg ;;
Deister Apotheke Eimbeckhausen ;Hasselweg;6;31848;Bad Münder am Deister;;
Mozart Apotheke ;Elkenbrederweg;2;32105;Bad Salzuflen;;
Apo. im Gesundheitszentrum       -;Bahnhofsallee;12;32839;Steinheim                                         ;;
Apotheke am Bienroder Weg ;Bienroder Weg;78/79;38106;Braunschweig;;
Apotheke Schöppenstedt Neue Straße  ;Neue Straße;1e;38170;Schöppenstedt ;;
Apotheke im Kauf Park ;Am Kauf Park;2;37079;Göttingen;;
Stadt-Apotheke ;Nordhäuserstraße;2;37339;Worbis;;
Adler-Apotheke ;Schulgasse;7;99955;Herbsleben;;
Apotheke Dr. Anschütz Grone  ;Salinenweg;1;37081;Götttingen / Grone;;
Neue Apotheke Derne ;Altenderner Straße;20b;44329;Dortmund;;
Kleeblatt Apotheke im EKZ Widumer Platz e.K. ;Widumer Tor;1;44575;Castrop-Rauxel ;;
Stephanus Apotheke  ;Hauptstraße;11;59379;Selm                                              ;;
Schiller Apotheke Raiffeisenstraße  ;Raiffeisenstraße;5;58638;Iserlohn;;
AVIE Apotheke im Brandt-Quartier;Enneperstraße;140a;58135;Hagen                                             ;;
Bußmanns Park-Apotheke ;Oststraße;17a;59227;Ahlen;;
Sonnen Apotheke ;Freiheitsstraße;12;58119;Hagen;;
Hirsch Apotheke ;Derschlager Straße;1a;58540;Meinerzhagen;;
Panda-Apotheke                  ;Hainstraße;15-17;42109;Wuppertal                                         ;;
Fortuna Apotheke ;Barmer Straße;8a;58332;Schwelm;;
Herz Apotheke am Siegbogen ;Weidenauer Straße;202;57076;Siegen;;
Brühl-Apotheke ;Im Brühl;;66649;Oberthal;;
Töpfer-Apotheke ;Mittelstraße;2;56203;Höhr-Grenzhausen;;
Neue Apotheke ;Luisenthalerstraße;2a;61184;Karben;;
Apotheke am Bahnhof ;Friedberger Straße;77b;61118;Bad Vilbel ;;
Rathaus Apotheke ;Dorf-Güller-Straße;43;35415;Pohlheim;;
Schiller-Apotheke ;Im Boden;1;35112;Fronhausen;;
Central Apotheke ;Bahnhofstraße;65;65479;Raunheim;;
Ebelfeld Apotheke ;Ludwig-Landmann-Straße;73;60488;Frankfurt am Main;;
Easy Apotheke am Krifteler Markt  ;Kapellenstraße;48a;65830;Kriftel;;
Apotheke am Kreisel  ;Bischoff-Kaller-Straße;1a;61462;Königstein;;
Apotheke am Sanupark ;Frankfurter;94;65239;Hochheim am Main ;;
"Apotheke am internationalen  Flughafen The Squaire"", Ebene 3""";Flughafen FFM;Terminal 1;60549;Frankfurt ;;
5K Universum Apotheke;Theodor Stern Kai;Haus 12;60596;Frankfurt am Main;;
Möwen Apotheke ;Lauterbacher Straße;1;36137;Großenlüder;;
Apotheke am Krankenhaus  ;Ofenthaler Weg;20;97762;Hammelburg;;
Apotheke am Schloßpark  ;Bezirks Straße;30;63755;Alzenau-Wasserlos ;;
Easy Apotheke Sulzbach  ;Quierschieder Weg;3d;66280;Sulzbach ;;
Apotheke Am Kirchberg ;Langgasse;12;55299;Nackenheim;;
Rosen Apotheke Urexweiler;Im Brühl;1a;66646;Marpingen;;
Alsenz Apotheke ;Am Messeplatz;;67722;Winnweiler;;
Markt Apotheke ;Weiße Tor Straße;2;76661;Philippsburg;;
Stadt Apotheke ;Bei der Stadtmauer;1;71723;Großbottwar;;
Engel Apotheke ;Heinrich-Fuchs-Straße;9;69126;Heidelberg;;
Hof Apotheke ;Schillerplatz;16;69198;Schriesheim;;
Linden Apotheke  Frau Karin Ramsauer e.K. ;Lindenweg;2;69126;Heidelberg;;
Schlößle Apotheke Pächter: Jens Tonne e.K.;Westliche Karl-Friedrich-Straße;80;75172;Pforzheim;;
Stadt Apotheke  ;Bahnhofstraße;5;72622;Nürtingen;;
Schurwald-Apotheke Hohengehren  ;Zollernstraße;4;73666;Baltmannsweiler                                   ;;
Hof Apotheke ;Marktplatz;4;88709;Meersburg;;
Apotheke Zürn ;Hauptstraße;15;78658;Zimmern ob Rottweil;;
Blauen Apotheke  ;Freiburger Straße;15;79418;Schliengen ;;
Bergsee-Apotheke ;Bahnhofsplatz;1;79713;Bad Säckingen;;
Pfalz Apotheke ;Im Giessenfeld;1;79588;Efringen-Kirchen;;
Thoma Apotheke ;Im Moos;1;79872;Bernau im Schwarzwald;;
Apotheke am Ebertplatz OHG  ;Ebertplatz;12a;77654;Offenburg ;;
Marien  Apotheke ;Festungsstraße;1;77955;Ettenheim;;
Apotheke an der Diakonie         -;Wirthstraße;9;79110;Freiburg                                          ;;
Park-Apotheke ;Waldburgstraße;23;70563;Stuttgart;;
Spitzweg Apotheke ;Weiherplatz;13;72186;Empfingen;;
Würmtal-Apotheke Merklingen Strittmatter OHG;Kirchplatz;5;71263;Weil der Stadt;;
Aischpark-Apotheke ;Kieferndorferweg;58b;91315;Höchstadt;;
easy-Apotheke ;Georg-Mayr-Straße;15;97828;Marktheidenfeld;;
Stern Apotheke ;Luitpoldstraße;13;97318;Kitzingen;;
Neue Rigi-Apotheke  ;Göppinger Straße;4;73037;Göppingen-Holzheim ;;
Aesculap Apotheke  ;Waldstraße;36;90763;Fürth;;
Kobold Apotheke ;Salvatorstraße;2;96142;Hollfeld;;
Andreas  Apotheke ;Lichtenfelser Straße;2a;90427;Nürnberg;;
ABF Apotheke Gebhardtstraße  ;Gebhardtstraße;28;90762;Fürth;;
Franken Apotheke ;Kirchplatz;9;96114;Hirschaid;;
Apotheke im Westpark            ;Geiselhöringerstraße;63;94315;Straubing                                         ;;
Marien Apotheke OHG  ;Passauer Straße;69a;94104;Tittling;;
Riem-Apotheke                   ;Luitpoldstraße;52;84034;Landshut                                          ;;
Innstadt Apotheke OHG  ;Kapuzinerstr,;2a;94032;Passau;;
Seemüller Apotheke im HEP ;Rosenheimer Straße;21;83607;Holzkirchen ;;
Apollo Apotheke ;Merktlerstraße;33;84489;Burghausen;;
Sankt Leonhardts Apotheke ;Bahnhofstraße 27 c;27c;85635;Höhenkirchen-Siegertbrunn;;
St.Margarethen Apotheke ;Alte Bräuhausgasse 1;1;85570;Markt Schwaben;;
Internationale Hauptbahnhof Apotheke  Dr. K.-H. Kugler & M. Hillinger OHG;Bayerstraße 27;27;80335;München;;
Bayertor Apotheke e.k Sarah Megele;Weilheimer Straße 9;9;86899;Landsberg am Lech;;
Stadt Apotheke  ;Fuggerstraße 12;12;86830;Schwabmünchen ;;
KöWi Apotheke ;Königswieser Straße;5;81475;München;;
Drei Kugel Apotheke ;Gerberweg;6;87541;Bad Hindelang;;
Linden-Apotheke ;Ahornweg;1;82343;Pöcking;;
Kur Apotheke ;Füssener Straße;32;87645;Schwangau;;
Apotheke im Gesundheitszentrum  ;Im Stillen 4;4 1/2;87509;Immenstadt i.Allgäu;;
Donaumoos Apotheke ;Ingolstädter Straße;12;86668;Karlshuld;;
Ritter Apotheke ;Züricher Straße;92;81476;München;;
Apotheke am Willibaldplatz ;Willibaldplatz;5;80687;München;;
Apotheke Via Claudia ;Via Claudia;4a;86405;Meitingen ;;
Eulen Apotheke ;Münchner Straße;187;85757;Karlsfeld;;
Alpha Apotheke OHG  ;Viktoriastraße;3;86150;Augsburg ;;
Franken Apotheke Ostsee Center ;Langendorfer Berg;1;18442;Stralsund-Langendorf;;
Apotheke im Real  ;Rostocker Straße;2;16928;Pritzwalk;;
Delphin Apotheke Löcknitz ;Chausseestraße;86a;17321;Löcknitz ;;
Elbetal-Apotheken OHG - Sude Apotheke  P.Scholz & S. Scholz jr.;Bahnhofstraße;12a;19258;Boizenburg;;
Apotheke im Gusanum ;Wismarsche Straße;132-134;19053;Schwerin;;
Zentral Apotheke Im Ärztehaus  ;Graf-Schack-Allee;20;19053;Schwerin ;;
Ginkgo-Apotheke Werneuchen OHG;Freienwalder Straße;45;16356;Werneuchen;;
Brandenburger Tor Apotheke  ;Unter den Linden;69d;10117;Berlin ;;
Lessing Apotheke Wedding;Reininckendorfer Straße;12;13357;Berlin;;
Apotheke Berlin Bahnhof Zoo ;Bahnhof Zoologischer Garten;;10623;Berlin;;
Wannsee Apotheke Wannsee;Königstraße;18;14109;Berlin;;
Altstadt Apotheke ;Königstraße;56;15890;Eisenhüttenstadt;;
M-Apotheke City                 ;Heilbronner Straße;24;15230;Frankfurt                                         ;;
easyApotheke im Victoria Center  Inh. Peter Lange e.K.;Marktstraße;6;10317;Berlin;;
Neumann Apotheke                 -;Hönower Straße;16;12623;Berlin                                            ;;
Apotheke im KaDeWE ;Passauer Straße;38;10789;Berlin (Tempelhof-Schöneberg);;
Gutenberg-Apotheke ;Mittelstraße;23;6785;Oranienbaum-Wörlitz;;
Melanchthon-Apotheke ;Dessauer Straße;166;6886;Lutherstadt Wittenberg;;
Flamingo Apotheke Sandow ;Hermannstraße;17;3042;Cottbus ;;
Zehlendorf Apotheke             ;Teltower Damm;19;14169;Berlin                                            ;;
Spitzweg Apotheke ;Fontanestraße;16b;14943;Luckenwalde;;
Apotheke an der Priormühle      ;An der Priormühle;15;3050;Cottbus                                           ;;
Apotheke Am Kupferberg ;Rostiger Weg;3b;1558;Großenhain;;
Löwen-Apotheke Am Markt;Kirchplatz;2;1744;Dippoldiswalde;;
Anker-Apotheke ;Hauptstraße;80;1587;Riesa;;
McMedi Apotheke Bornaische Straße ;Bornaische Straße;23;4277;Leipzig;;
Salinen-Apotheke ;Dahlienstraße;22;4209;Leipzig;;
Adler Apotheke  ;Am Puschkinplatz;8;7973;Greiz ;;
Park-Apotheke ;Auerbacher Straße;18b;8228;Rodewisch;;
Versand City-Apotheke           ;Gewerbering;22;8451;Crimmitschau                                      ;;
Grüne-Apotheke Nachf. Jane Michel e.K. ;Rodaerstraße;38;7806;Neustadt an der Orla;;
Apotheke am Hirschgarten  ;Neuwerkstraße;24;99084;Erfurt;;
Center Apotheke ;Braunschweigerstraße;83-88;38820;Halberstadt;;
Augustus Apotheke  ;Juedenstraße;13;6667;Weißenfels ;;
Petrus Apotheke  ;Kröllwitzer Straße;3a;6120;Halle (Saale);;
Die Kosmos Apotheke Zentrallager;R.Mannesmann Weg;3;39118;Magdeburg;;
Burg Apotheke ;Lessingstraße;16a;39646;Oebisfelde;;
Mc Medi Apotheke Delitzsch  ;Ellenburger Straße;39;4509;Delitzsch;;
Steintor-Apotheke ;Am Steintor;7;6112;Halle (Saale);;
Dom Apotheke  ;Lindenstraße;7a;39539;Havelberg;;
Zeppelin Apotheke Alhorn Apotheken Dr.R. Alhorn e.K.;Zeppelinstraße;132;14471;Potsdam;;
Linden-Apotheke ;Unter den Linden;10;14542;Werder (Havel);;
Apotheke Wilhelmstraße ;Wilhelmstraße;24b;13593;Berlin ;;
Victoria Apotheke ;Im Bogen;3;14550;Groß Kreutz (Havel);;
Kleo Apotheke                   ;Müllerstraße;130;13349;Berlin                                            ;;
Humboldt Apotheke                 -;Heinrich-Mann-Allee;54a;14473;Potsdam                                           ;;
Stern Apotheke im Ärztehaus  ;Sachsenhauser Straße;32;16515;Oranienburg;;
Apotheke Im Hauptbahnhof ;B-Ebene;;60329;Frankfurt am Main;;
Fischers Apotheke - Wittensee e.k. ;Im Wiesengrund;2;24361;Groß Wittensee;;
Homburg Apotheke ;Neue Straße;2a;37627;Stadtoldendorf;;
Priv.Löwen Apotheke ;Markt;7;31840;Hessisch Oldendorf;;
Melmsche-Hirsch Apotheke ;Hauptstraße;1;33813;Oerlinghausen;;
Teich-Apotheke ;Rainer-Zille-Straße;1;6217;Merseburg;;
Schloss Apotheke ;Alter Markt;1;26441;Jever;;
Engel Apotheke ;Neufelder Weg;1;27619;Schiffdorf ;;
Apotheke Hooksiel Hooksiel;Nee Straat;1;26434;Wangerland;;
Hubertus Apotheke ;Schützenhofstraße;1;26188;Edewecht;;
Lindenboom-Apotheke ;Heerenkamp;1;26605;Aurich;;
Apotheke im Alten Feld ;Altes Feld;1;27624;Bad Bederkesa;;
Schwan Apotheke ;Hospitalstraße;1;28790;Schwanewede;;
Friesen Apotheke ;Marktstraße;1;26639;Wiesmoor;;
Sonnen Apotheke ;Hermann-Allmers-Straße;1;26721;Emden;;
Leben Apotheke Bremerhaven ;Bohmsiel;1;27572;Bremerhaven;;
Fca Apotheke;Senator-Weßling-Straße;1;28277;Bremen;;
Rosen Apotheke Rodekirchen;Schweier Straße;1;26935;Stadland;;
Löwen Apotheke ;Steinstraße;1;26441;Jever;;
